Plants,Andrena.flavipes,Aphantopus.hyperantus,Argynnis.paphia,Asilidae,Ectophasia,Eristalis.anthopnorina,Eristalis.arbustorum,Eristalis.hirta,Eristalis.interrupta,Eristalis.lineata,Eristalis.similis,Eristalis.tenax,Lasioglossum.calceatum,Lasioglossum.laticeps,Lycaena.virgaureae,Melanargia.galathea,Merodon.aeneus,Merodon.ruficornis,Muscidae,Myathropa.florea,Sphaerophoria.scripta,Syritta.pipiens,Syrphus.vitripennis,Tachinidae,Melitaea.athalia.britomartis,Zygaena.minos.purpuralis,Polistes.nimpha,Volucella.pellucens,Ancylolomia.tentaculella,Apis.mellifera,Bombus.terrestris.complex,Microgasterinae,Osmia.rapunculi,Bombus.lapidarus,Bombus.pratorum,Osmia.cantabrica,Bombus.ruderarius,Lasioglossum.zonulum,Polyommatus.icarus,Scaeva.pyrastri,Limenitis.camilla,Bombus.pascuorum,Episyrphus.balteatus,Helconinae,Argynnis.aglaja,Argynnis.niobe,Epistrophe.grossulariae,Eriothrix.rufomaculata,Eristalis.horticola,Ochlodes.sylvanus,Pimplinae,Pipiza.accola,Sicus.ferrugineus,Thymelicus.sylvestris,Halictus.tumulorum,Melanostoma.mellinum,Calliphoridae,Meliscaeva.cinctella,Panorpidae,Paragus.haemorrhous,Scathophagidae,Stenomicridae,Syrphidae,Bombus.hortorum,Platycheirus.stictus,Eupeodes.lapponicus,Lasioglossum.fulvicorne,Andrena.minutuloides,Banchinae,Campopleginae,Chelosia.vicina,Cynomya.mortuorum,Dolichopodidae,Eristalis.pertinax,Eristalis.pseudorupium,Lasioglossum.lativentre,Litophasia.hyalipennis,Lucilia.caesar,Tenthredo.amoena,Tryphoninae,Bombus.sylvarum,Scaeva.selenitica,Syrphus.torvus,Tephritidae,Adscita.Jodanita.sp,Aglais.io,Bombylidae,Brenthis.ino,Erebia.ligea,Eristalis.jugorum,Lycaena.alciphron,Maniola.jurtina,Merodon.equestris,Polyommatus.dorylas,Pyrgus.alveus.armoricanus,Satyrium.w.album,Volucella.bombylans,Zygaena.filipendulum,Zygaena.lonicerae,Angioneura.acerba,Coenonympha.glycerion,Helophilus.trivittatus,Tenthredo.sp,Osmia.leucomelana,Phengaris.alcon,Trachusa.byssinum,Ichneumoninae,Andrena.congruens,Chelosia.laticornis,Hylaeus.communis,Syrphus.ribesii,Temnostoma.vespiforme,Andrena.dorsata,Lasioglossum.fratellum,Lasioglossum.setulosum,Andrena.hattorfiana,Aglais.urticae,Andrena.coitana,Empididae,Eristalis.gomojunovae,Osmia.florisomnis,Parasyrphus.nigritarsis,Melanostoma.scalare,Andrena.bicolor,Cheloninae,Cylindromyia.pilipes,Halictus.rubicundus,Andrena.wilkella,Parasyrphus.lineolus,Acartophthalmidae,Diptera.sp,Opomyzidae
Galver,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genaus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Helnum,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hersph,0,0,0,0,1,0,0,1,0,0,0,5,0,0,0,0,0,0,4,23,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,3,1,1,1,2,4,1,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypper,0,0,0,1,0,0,0,1,0,0,3,30,0,5,0,1,0,0,1,0,4,0,6,0,0,0,0,0,0,4,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Knadip,0,3,0,0,0,0,0,0,0,0,0,68,1,0,2,7,0,0,0,0,0,0,0,0,0,12,0,2,0,0,38,0,0,7,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,1,7,1,4,1,4,1,1,2,1,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leohis/Scoaut,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leuvul,0,6,0,2,0,0,0,0,0,1,1,45,2,0,7,3,2,0,1,1,15,0,1,0,2,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lotcor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,9,0,0,6,5,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melsyl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
